complaint_id,victim_city,amount,amount_band,victim_bank,fraud_type,transaction_count,mule_bank,complaint_hour,complaint_delay_hours,day_of_week,withdrawal_cluster_id
CMP00022,Delhi,49319.76,1,Axis Bank,OTP_SCAM,10,Indian Bank,9,59,5,13
CMP00023,Hyderabad,28356.58,1,ICICI Bank,JOB_FRAUD,6,SBI,8,24,0,9
CMP00024,Kolkata,13469.51,1,Yes Bank,INVESTMENT_SCAM,7,Bank of Baroda,21,13,1,15
CMP00025,Chennai,40150.27,1,HDFC Bank,TECH_SUPPORT_SCAM,7,Canara Bank,10,39,4,0
CMP00026,Pune,119809.25,2,Axis Bank,LOAN_FRAUD,1,PNB,5,52,5,9
CMP00027,Pune,48294.42,1,Axis Bank,KYC_UPDATE,10,Canara Bank,15,20,3,11
CMP00028,Surat,173840.53,2,Yes Bank,IMPERSONATION,9,Bank of Baroda,7,11,4,11
CMP00029,Patna,361725.42,3,HDFC Bank,KYC_UPDATE,9,SBI,17,20,1,17
CMP00030,Pune,30415.01,1,ICICI Bank,KYC_UPDATE,8,Indian Bank,1,59,1,15
CMP00031,Pune,10120.62,1,Axis Bank,JOB_FRAUD,7,SBI,6,10,0,13
CMP00032,Mumbai,40758.88,1,Kotak Mahindra,OTP_SCAM,5,SBI,20,54,2,12
CMP00033,Ahmedabad,899642.98,4,Kotak Mahindra,JOB_FRAUD,11,SBI,4,45,0,13
CMP00034,Surat,570403.12,4,ICICI Bank,LOTTERY_FRAUD,1,SBI,23,70,3,7
CMP00035,Bengaluru,780019.16,4,ICICI Bank,JOB_FRAUD,4,Canara Bank,3,5,6,13
CMP00036,Chennai,33911.4,1,HDFC Bank,INVESTMENT_SCAM,10,SBI,22,7,1,12
CMP00037,Chennai,49739.34,1,Yes Bank,JOB_FRAUD,1,PNB,7,41,4,13
CMP00038,Hyderabad,21006.16,1,ICICI Bank,INVESTMENT_SCAM,4,Indian Bank,17,23,5,17
CMP00039,Bengaluru,111238.88,2,Kotak Mahindra,OTP_SCAM,6,Indian Bank,9,49,1,15
CMP00040,Chennai,649908.76,4,Axis Bank,INVESTMENT_SCAM,8,PNB,13,72,4,18
CMP00041,Bengaluru,38983.39,1,HDFC Bank,INVESTMENT_SCAM,6,Bank of Baroda,6,7,2,17
CMP00042,Chennai,44778.95,1,Yes Bank,KYC_UPDATE,4,Indian Bank,10,39,0,14
CMP00043,Chennai,641663.43,4,Yes Bank,JOB_FRAUD,7,PNB,9,49,3,16
CMP00044,Bengaluru,49252.74,1,Yes Bank,LOAN_FRAUD,8,Bank of Baroda,15,41,1,13
CMP00045,Surat,33361.28,1,ICICI Bank,INVESTMENT_SCAM,5,SBI,23,54,2,15
CMP00046,Patna,152726.99,2,ICICI Bank,IMPERSONATION,9,Bank of Baroda,8,63,5,15
CMP00047,Surat,123247.45,2,Axis Bank,LOTTERY_FRAUD,3,PNB,17,8,4,1
CMP00048,Ahmedabad,51371.22,2,ICICI Bank,OTP_SCAM,2,PNB,16,59,2,16
CMP00049,Delhi,10669.05,1,HDFC Bank,JOB_FRAUD,9,Indian Bank,23,36,4,0
CMP00050,Kolkata,17677.28,1,HDFC Bank,IMPERSONATION,9,SBI,16,33,6,15
CMP00051,Ahmedabad,380685.8,3,Kotak Mahindra,TECH_SUPPORT_SCAM,4,Indian Bank,21,11,5,1
CMP00052,Ahmedabad,35469.92,1,Kotak Mahindra,KYC_UPDATE,9,Bank of Baroda,22,22,0,15
CMP00053,Lucknow,753830.17,4,HDFC Bank,KYC_UPDATE,4,PNB,18,61,2,14
CMP00054,Kolkata,40090.18,1,Axis Bank,OTP_SCAM,4,SBI,22,51,0,16
CMP00055,Pune,70992.59,2,Yes Bank,IMPERSONATION,7,Canara Bank,22,11,4,11
CMP00056,Mumbai,40760.23,1,Kotak Mahindra,OTP_SCAM,2,PNB,19,51,6,16
CMP00057,Jaipur,545478.36,4,ICICI Bank,JOB_FRAUD,9,Canara Bank,21,49,0,9
CMP00058,Surat,38467.09,1,HDFC Bank,INVESTMENT_SCAM,5,SBI,20,20,5,15
CMP00059,Delhi,65334.71,2,Axis Bank,KYC_UPDATE,6,Bank of Baroda,2,24,3,17
CMP00060,Delhi,33921.75,1,HDFC Bank,KYC_UPDATE,9,Canara Bank,10,50,0,15
CMP00061,Patna,15553.6,1,Yes Bank,INVESTMENT_SCAM,11,PNB,9,35,3,18
CMP00062,Ahmedabad,47768.89,1,Axis Bank,LOAN_FRAUD,2,Bank of Baroda,23,64,4,13
CMP00063,Hyderabad,106983.49,2,HDFC Bank,LOTTERY_FRAUD,6,Bank of Baroda,10,57,2,13
CMP00064,Bengaluru,48582.98,1,Yes Bank,LOAN_FRAUD,8,PNB,10,38,5,13
CMP00065,Ahmedabad,32554.02,1,Axis Bank,TECH_SUPPORT_SCAM,6,Bank of Baroda,18,70,1,14
CMP00066,Surat,60373.8,2,ICICI Bank,JOB_FRAUD,5,Bank of Baroda,13,64,1,18
CMP00067,Surat,33917.35,1,Kotak Mahindra,LOTTERY_FRAUD,2,Bank of Baroda,18,52,4,13
CMP00068,Bengaluru,287495.54,3,Yes Bank,OTP_SCAM,11,Indian Bank,7,46,1,12
CMP00069,Ahmedabad,30427.05,1,HDFC Bank,TECH_SUPPORT_SCAM,2,SBI,16,72,4,15
CMP00070,Ahmedabad,23798.7,1,Kotak Mahindra,TECH_SUPPORT_SCAM,12,Indian Bank,0,62,0,15
CMP00071,Bengaluru,128167.22,2,Axis Bank,LOTTERY_FRAUD,8,Canara Bank,11,61,0,13
CMP00072,Mumbai,43967.2,1,Axis Bank,TECH_SUPPORT_SCAM,12,SBI,20,14,5,7
CMP00073,Lucknow,28482.17,1,ICICI Bank,LOTTERY_FRAUD,9,Canara Bank,12,24,1,12
CMP00074,Surat,25553.43,1,Yes Bank,OTP_SCAM,8,PNB,22,28,1,16
CMP00075,Lucknow,14558.2,1,ICICI Bank,KYC_UPDATE,6,Canara Bank,21,63,4,10
CMP00076,Patna,43820.71,1,Kotak Mahindra,IMPERSONATION,2,Indian Bank,19,23,6,15
CMP00077,Bengaluru,24932.24,1,HDFC Bank,LOTTERY_FRAUD,5,PNB,4,66,3,18
CMP00078,Ahmedabad,46766.44,1,ICICI Bank,IMPERSONATION,11,Bank of Baroda,5,72,1,14
CMP00079,Jaipur,587687.14,4,Yes Bank,TECH_SUPPORT_SCAM,6,SBI,6,50,4,18
CMP00080,Ahmedabad,11234.43,1,Kotak Mahindra,JOB_FRAUD,3,Bank of Baroda,7,38,0,13
CMP00081,Jaipur,32908.56,1,Yes Bank,LOTTERY_FRAUD,9,Bank of Baroda,8,70,6,17
CMP00082,Surat,281933.15,3,Kotak Mahindra,OTP_SCAM,4,Indian Bank,20,32,2,1
CMP00083,Hyderabad,67607.9,2,Axis Bank,JOB_FRAUD,8,SBI,7,27,6,11
CMP00084,Kolkata,170816.07,2,Yes Bank,IMPERSONATION,4,PNB,18,45,4,5
CMP00085,Surat,44320.67,1,Axis Bank,TECH_SUPPORT_SCAM,10,Canara Bank,21,13,1,13
CMP00086,Hyderabad,22883.87,1,ICICI Bank,OTP_SCAM,4,PNB,7,51,3,16
CMP00087,Ahmedabad,165332.64,2,Kotak Mahindra,IMPERSONATION,11,SBI,12,66,5,15
CMP00088,Bengaluru,48886.01,1,Yes Bank,JOB_FRAUD,12,SBI,20,46,6,13
CMP00089,Ahmedabad,21343.72,1,ICICI Bank,INVESTMENT_SCAM,5,Bank of Baroda,17,17,4,10
CMP00090,Delhi,44306.06,1,HDFC Bank,OTP_SCAM,1,Bank of Baroda,14,59,0,13
CMP00091,Surat,181489.26,2,ICICI Bank,INVESTMENT_SCAM,3,Canara Bank,2,47,2,17
CMP00092,Ahmedabad,155554.71,2,Axis Bank,OTP_SCAM,7,PNB,0,28,3,16
CMP00093,Delhi,537851.15,4,HDFC Bank,JOB_FRAUD,2,Canara Bank,4,62,0,18
CMP00094,Bengaluru,42534.72,1,Axis Bank,KYC_UPDATE,3,Canara Bank,4,19,0,14
CMP00095,Bengaluru,116357.58,2,ICICI Bank,JOB_FRAUD,7,PNB,6,12,0,18
CMP00096,Ahmedabad,13369.95,1,Axis Bank,TECH_SUPPORT_SCAM,4,PNB,17,37,6,0
CMP00097,Chennai,25670.04,1,Yes Bank,LOAN_FRAUD,9,Indian Bank,20,7,6,7
CMP00098,Ahmedabad,60651.8,2,HDFC Bank,JOB_FRAUD,8,PNB,0,47,2,13
CMP00099,Lucknow,12701.3,1,ICICI Bank,TECH_SUPPORT_SCAM,2,Bank of Baroda,8,28,0,12
CMP00100,Pune,62364.17,2,Yes Bank,LOAN_FRAUD,7,Bank of Baroda,17,69,4,12
CMP00101,Lucknow,33457.49,1,ICICI Bank,KYC_UPDATE,9,PNB,20,9,2,17
CMP00102,Chennai,34353.3,1,HDFC Bank,OTP_SCAM,2,Bank of Baroda,9,23,0,12
CMP00103,Jaipur,158114.83,2,Axis Bank,LOTTERY_FRAUD,9,Indian Bank,5,48,1,8
CMP00104,Delhi,20517.99,1,Axis Bank,KYC_UPDATE,5,Bank of Baroda,18,10,3,15
CMP00105,Patna,14116.2,1,ICICI Bank,JOB_FRAUD,3,Canara Bank,18,15,1,0
CMP00106,Delhi,46809.06,1,ICICI Bank,OTP_SCAM,8,SBI,5,5,4,13
CMP00107,Bengaluru,43039.88,1,ICICI Bank,INVESTMENT_SCAM,12,Bank of Baroda,18,48,0,18
CMP00108,Lucknow,179904.83,2,HDFC Bank,INVESTMENT_SCAM,2,Bank of Baroda,9,42,0,18
CMP00109,Hyderabad,119589.0,2,Yes Bank,INVESTMENT_SCAM,12,Canara Bank,18,64,6,17
CMP00110,Kolkata,23856.95,1,HDFC Bank,INVESTMENT_SCAM,1,Bank of Baroda,22,2,2,17
CMP00111,Mumbai,48447.4,1,ICICI Bank,LOAN_FRAUD,4,Indian Bank,4,36,0,12
CMP00112,Jaipur,35488.63,1,HDFC Bank,TECH_SUPPORT_SCAM,2,Indian Bank,12,10,4,18
CMP00113,Hyderabad,160302.93,2,Axis Bank,INVESTMENT_SCAM,7,Canara Bank,10,58,2,18
CMP00114,Kolkata,26260.5,1,HDFC Bank,KYC_UPDATE,8,PNB,17,46,6,15
CMP00115,Mumbai,38188.19,1,HDFC Bank,LOAN_FRAUD,11,PNB,19,6,1,10
CMP00116,Mumbai,37087.34,1,ICICI Bank,LOTTERY_FRAUD,7,Canara Bank,8,23,0,14
CMP00117,Mumbai,12466.77,1,Kotak Mahindra,INVESTMENT_SCAM,3,SBI,7,17,1,11
CMP00118,Patna,12578.88,1,Yes Bank,KYC_UPDATE,2,Canara Bank,20,57,6,15
CMP00119,Jaipur,38977.23,1,HDFC Bank,OTP_SCAM,10,PNB,15,4,3,12
CMP00120,Kolkata,55197.42,2,Axis Bank,INVESTMENT_SCAM,8,Canara Bank,19,32,5,15
CMP00121,Mumbai,35706.1,1,Axis Bank,OTP_SCAM,3,Bank of Baroda,16,32,5,17
CMP00122,Ahmedabad,101605.12,2,Axis Bank,OTP_SCAM,9,Bank of Baroda,18,65,2,12
CMP00123,Patna,49661.25,1,ICICI Bank,TECH_SUPPORT_SCAM,5,SBI,16,46,6,15
CMP00124,Chennai,187588.92,2,ICICI Bank,KYC_UPDATE,9,Canara Bank,1,29,4,12
CMP00125,Kolkata,39524.2,1,ICICI Bank,TECH_SUPPORT_SCAM,10,PNB,11,4,5,18
CMP00126,Patna,29617.46,1,ICICI Bank,LOTTERY_FRAUD,9,Bank of Baroda,2,8,1,16
CMP00127,Delhi,101113.86,2,Axis Bank,JOB_FRAUD,4,Indian Bank,5,42,0,13
CMP00128,Lucknow,149320.93,2,Axis Bank,KYC_UPDATE,6,SBI,18,13,2,14
CMP00129,Pune,134296.6,2,Kotak Mahindra,IMPERSONATION,3,Canara Bank,19,46,1,14
CMP00130,Surat,192318.22,2,Axis Bank,LOAN_FRAUD,3,PNB,18,51,6,18
CMP00131,Kolkata,32622.01,1,Yes Bank,OTP_SCAM,10,Canara Bank,15,19,2,7
CMP00132,Bengaluru,159392.89,2,ICICI Bank,TECH_SUPPORT_SCAM,12,SBI,10,58,0,15
CMP00133,Hyderabad,39303.38,1,HDFC Bank,TECH_SUPPORT_SCAM,1,SBI,5,53,3,11
CMP00134,Mumbai,83837.41,2,Kotak Mahindra,IMPERSONATION,11,Indian Bank,14,10,6,9
CMP00135,Bengaluru,45517.25,1,Axis Bank,OTP_SCAM,2,SBI,5,10,4,2
CMP00136,Patna,47697.69,1,Yes Bank,TECH_SUPPORT_SCAM,12,Bank of Baroda,5,56,1,18
CMP00137,Ahmedabad,94610.1,2,Yes Bank,INVESTMENT_SCAM,5,Indian Bank,3,7,3,15
CMP00138,Bengaluru,36480.81,1,HDFC Bank,OTP_SCAM,2,Bank of Baroda,19,62,1,12
CMP00139,Mumbai,120641.67,2,Kotak Mahindra,LOAN_FRAUD,5,SBI,21,34,0,13
CMP00140,Ahmedabad,27589.62,1,Axis Bank,TECH_SUPPORT_SCAM,8,PNB,8,29,6,15
CMP00141,Mumbai,671781.15,4,Axis Bank,KYC_UPDATE,7,Indian Bank,17,8,6,17
CMP00142,Patna,46111.09,1,ICICI Bank,JOB_FRAUD,5,Bank of Baroda,22,5,4,13
CMP00143,Jaipur,68927.9,2,ICICI Bank,KYC_UPDATE,4,PNB,13,11,5,17
CMP00144,Bengaluru,32082.17,1,HDFC Bank,LOAN_FRAUD,7,SBI,8,67,3,0
CMP00145,Mumbai,33307.08,1,Kotak Mahindra,IMPERSONATION,3,PNB,3,14,4,9
CMP00146,Ahmedabad,34358.49,1,Axis Bank,TECH_SUPPORT_SCAM,11,Bank of Baroda,1,23,2,14
CMP00147,Ahmedabad,188125.25,2,Axis Bank,OTP_SCAM,1,PNB,11,3,2,9
CMP00148,Hyderabad,48968.78,1,Kotak Mahindra,LOAN_FRAUD,4,SBI,14,42,2,2
CMP00149,Jaipur,30660.06,1,ICICI Bank,INVESTMENT_SCAM,12,Bank of Baroda,11,8,4,2
CMP00150,Surat,128642.93,2,Yes Bank,LOAN_FRAUD,3,Bank of Baroda,18,4,1,12
CMP00151,Delhi,91096.62,2,Kotak Mahindra,INVESTMENT_SCAM,6,SBI,14,65,3,18
CMP00152,Bengaluru,44819.23,1,Kotak Mahindra,INVESTMENT_SCAM,8,Indian Bank,18,71,2,15
CMP00153,Delhi,166974.52,2,Kotak Mahindra,LOAN_FRAUD,3,SBI,6,29,5,12
CMP00154,Lucknow,717897.24,4,HDFC Bank,IMPERSONATION,8,SBI,19,2,1,15
CMP00155,Ahmedabad,22085.8,1,Axis Bank,IMPERSONATION,5,Bank of Baroda,16,51,4,11
CMP00156,Hyderabad,21059.33,1,HDFC Bank,LOAN_FRAUD,2,Bank of Baroda,10,36,2,9
CMP00157,Kolkata,170354.56,2,Yes Bank,INVESTMENT_SCAM,1,PNB,19,52,5,18
CMP00158,Hyderabad,11412.76,1,Axis Bank,JOB_FRAUD,7,Bank of Baroda,22,25,2,7
CMP00159,Pune,176095.8,2,Axis Bank,JOB_FRAUD,5,Indian Bank,17,24,2,18
CMP00160,Pune,39768.4,1,Axis Bank,LOTTERY_FRAUD,4,SBI,9,54,6,11
CMP00161,Patna,44655.73,1,Axis Bank,LOAN_FRAUD,2,Bank of Baroda,18,10,3,16
CMP00162,Pune,44833.97,1,Kotak Mahindra,KYC_UPDATE,5,Indian Bank,4,18,1,17
CMP00163,Bengaluru,49465.61,1,ICICI Bank,LOTTERY_FRAUD,8,SBI,10,8,0,5
CMP00164,Jaipur,27176.39,1,HDFC Bank,LOTTERY_FRAUD,10,PNB,13,62,3,13
CMP00165,Delhi,10164.95,1,Axis Bank,TECH_SUPPORT_SCAM,4,Indian Bank,23,32,1,18
CMP00166,Mumbai,12611.48,1,Kotak Mahindra,LOTTERY_FRAUD,10,Indian Bank,1,39,2,13
CMP00167,Pune,17537.04,1,ICICI Bank,IMPERSONATION,8,Canara Bank,12,3,1,14
CMP00168,Patna,36021.62,1,Yes Bank,OTP_SCAM,2,PNB,1,49,5,16
CMP00169,Pune,112516.33,2,HDFC Bank,OTP_SCAM,1,SBI,12,16,4,16
CMP00170,Surat,149372.44,2,HDFC Bank,INVESTMENT_SCAM,7,Canara Bank,8,18,3,3
CMP00171,Hyderabad,17989.98,1,HDFC Bank,KYC_UPDATE,8,SBI,8,67,1,15
CMP00172,Delhi,122099.59,2,Yes Bank,LOTTERY_FRAUD,4,Bank of Baroda,7,1,0,18
CMP00173,Kolkata,65193.57,2,HDFC Bank,JOB_FRAUD,2,Indian Bank,8,30,3,9
CMP00174,Jaipur,177837.3,2,HDFC Bank,LOAN_FRAUD,3,SBI,11,41,3,3
CMP00175,Delhi,27508.58,1,ICICI Bank,OTP_SCAM,6,PNB,19,35,5,13
CMP00176,Ahmedabad,153485.36,2,Kotak Mahindra,KYC_UPDATE,5,Bank of Baroda,15,54,5,5
CMP00177,Kolkata,33630.01,1,HDFC Bank,KYC_UPDATE,2,PNB,18,57,1,15
CMP00178,Jaipur,12533.44,1,Kotak Mahindra,LOTTERY_FRAUD,7,SBI,20,41,0,16
CMP00179,Pune,142735.85,2,Axis Bank,INVESTMENT_SCAM,9,Indian Bank,13,32,3,17
CMP00180,Lucknow,73539.11,2,Yes Bank,LOTTERY_FRAUD,1,SBI,15,64,6,12
CMP00181,Bengaluru,35732.69,1,Axis Bank,INVESTMENT_SCAM,9,SBI,12,31,0,17
CMP00182,Jaipur,796191.17,4,Kotak Mahindra,KYC_UPDATE,2,Canara Bank,0,14,3,17
CMP00183,Patna,36183.84,1,Yes Bank,KYC_UPDATE,9,Canara Bank,14,44,2,7
CMP00184,Bengaluru,36286.69,1,Yes Bank,JOB_FRAUD,10,Indian Bank,22,58,0,13
CMP00185,Bengaluru,38083.84,1,Axis Bank,OTP_SCAM,9,Canara Bank,1,22,3,16
CMP00186,Hyderabad,44087.77,1,Yes Bank,KYC_UPDATE,4,PNB,6,59,6,10
CMP00187,Ahmedabad,117575.69,2,HDFC Bank,KYC_UPDATE,2,Indian Bank,21,65,1,0
CMP00188,Lucknow,824865.2,4,Kotak Mahindra,OTP_SCAM,8,Indian Bank,5,23,5,3
CMP00189,Pune,25386.51,1,Yes Bank,IMPERSONATION,6,Indian Bank,19,32,2,15
CMP00190,Kolkata,162264.03,2,ICICI Bank,JOB_FRAUD,10,Bank of Baroda,9,71,6,13
CMP00191,Chennai,36894.95,1,Yes Bank,INVESTMENT_SCAM,11,Canara Bank,22,23,4,17
CMP00192,Bengaluru,36686.29,1,Yes Bank,KYC_UPDATE,10,Bank of Baroda,13,69,2,13
CMP00193,Lucknow,36810.17,1,HDFC Bank,OTP_SCAM,7,SBI,6,35,6,9
CMP00194,Kolkata,54845.96,2,HDFC Bank,LOAN_FRAUD,4,Canara Bank,14,14,4,17
CMP00195,Surat,41873.35,1,Yes Bank,INVESTMENT_SCAM,4,Bank of Baroda,22,37,5,15
CMP00196,Pune,20053.65,1,Axis Bank,IMPERSONATION,1,Indian Bank,19,57,6,11
CMP00197,Surat,37306.35,1,ICICI Bank,INVESTMENT_SCAM,8,Canara Bank,5,23,5,15
CMP00198,Hyderabad,43840.57,1,Yes Bank,IMPERSONATION,3,Canara Bank,0,43,3,4
CMP00199,Kolkata,143805.0,2,Axis Bank,OTP_SCAM,1,Indian Bank,21,39,3,17
CMP00200,Mumbai,616485.03,4,Axis Bank,TECH_SUPPORT_SCAM,4,Indian Bank,16,21,3,18
CMP00201,Chennai,18737.81,1,ICICI Bank,TECH_SUPPORT_SCAM,6,Canara Bank,19,68,3,0
CMP00202,Pune,690960.88,4,Axis Bank,KYC_UPDATE,4,Bank of Baroda,19,32,0,15
CMP00203,Ahmedabad,46453.44,1,Axis Bank,KYC_UPDATE,12,Indian Bank,11,66,6,15
CMP00204,Pune,13838.26,1,ICICI Bank,LOAN_FRAUD,9,Canara Bank,17,69,0,12
CMP00205,Mumbai,161206.26,2,ICICI Bank,IMPERSONATION,12,Indian Bank,13,10,5,14
CMP00206,Delhi,20076.32,1,HDFC Bank,TECH_SUPPORT_SCAM,1,SBI,2,30,2,18
CMP00207,Bengaluru,10235.96,1,HDFC Bank,IMPERSONATION,11,Bank of Baroda,23,9,6,1
CMP00208,Bengaluru,95202.61,2,Yes Bank,KYC_UPDATE,5,SBI,2,37,6,12
CMP00209,Pune,15455.26,1,HDFC Bank,IMPERSONATION,3,Bank of Baroda,12,70,2,4
CMP00210,Pune,71206.08,2,Axis Bank,LOAN_FRAUD,9,SBI,1,1,4,17
CMP00211,Hyderabad,35837.26,1,ICICI Bank,KYC_UPDATE,4,Canara Bank,16,19,1,17
CMP00212,Mumbai,189855.48,2,ICICI Bank,INVESTMENT_SCAM,1,Indian Bank,17,60,5,15
CMP00213,Mumbai,485710.69,3,ICICI Bank,LOAN_FRAUD,8,Indian Bank,21,31,0,12
CMP00214,Jaipur,154018.72,2,Kotak Mahindra,TECH_SUPPORT_SCAM,10,Canara Bank,4,47,6,18
CMP00215,Bengaluru,115418.61,2,ICICI Bank,OTP_SCAM,12,PNB,11,18,5,15
CMP00216,Jaipur,17030.81,1,Axis Bank,JOB_FRAUD,8,Canara Bank,19,11,6,18
CMP00217,Surat,144743.97,2,HDFC Bank,LOAN_FRAUD,1,SBI,18,52,6,12
CMP00218,Pune,40885.79,1,ICICI Bank,JOB_FRAUD,7,Canara Bank,23,38,1,13
CMP00219,Bengaluru,48560.01,1,Yes Bank,IMPERSONATION,11,SBI,19,22,6,15
CMP00220,Patna,190876.29,2,Yes Bank,LOTTERY_FRAUD,12,PNB,1,29,6,8
CMP00221,Chennai,489001.09,3,HDFC Bank,TECH_SUPPORT_SCAM,9,PNB,15,59,0,14
CMP00222,Surat,31774.0,1,Yes Bank,KYC_UPDATE,12,Canara Bank,5,49,5,17
CMP00223,Ahmedabad,44708.78,1,ICICI Bank,LOAN_FRAUD,7,Indian Bank,15,62,4,12
CMP00224,Chennai,16009.62,1,HDFC Bank,LOTTERY_FRAUD,11,Indian Bank,5,47,4,3
CMP00225,Ahmedabad,121853.17,2,Axis Bank,INVESTMENT_SCAM,8,SBI,18,21,5,0
CMP00226,Delhi,35181.62,1,ICICI Bank,INVESTMENT_SCAM,10,Indian Bank,1,19,0,18
CMP00227,Surat,49711.03,1,Axis Bank,OTP_SCAM,4,SBI,15,22,1,4
CMP00228,Patna,101400.69,2,Yes Bank,LOTTERY_FRAUD,3,Canara Bank,14,9,1,3
CMP00229,Chennai,15982.45,1,Yes Bank,OTP_SCAM,11,Indian Bank,3,23,3,1
CMP00230,Mumbai,10048.01,1,Kotak Mahindra,KYC_UPDATE,10,PNB,21,56,4,14
CMP00231,Jaipur,186178.83,2,Kotak Mahindra,INVESTMENT_SCAM,10,Canara Bank,22,13,3,15
CMP00232,Hyderabad,10218.78,1,Yes Bank,KYC_UPDATE,7,Indian Bank,23,1,4,17
CMP00233,Pune,16191.14,1,ICICI Bank,IMPERSONATION,7,Canara Bank,20,33,2,13
CMP00234,Patna,41351.54,1,Axis Bank,TECH_SUPPORT_SCAM,4,Bank of Baroda,15,23,2,18
CMP00235,Patna,44553.22,1,Axis Bank,LOAN_FRAUD,12,Bank of Baroda,3,30,3,5
CMP00236,Chennai,142103.81,2,Yes Bank,KYC_UPDATE,6,Bank of Baroda,21,7,1,17
CMP00237,Kolkata,20523.68,1,Kotak Mahindra,KYC_UPDATE,7,Indian Bank,11,11,4,15
CMP00238,Surat,115845.81,2,Yes Bank,LOAN_FRAUD,3,SBI,6,67,2,16
CMP00239,Patna,10011.49,1,ICICI Bank,INVESTMENT_SCAM,6,SBI,5,12,2,11
CMP00240,Ahmedabad,38144.88,1,Yes Bank,IMPERSONATION,9,PNB,2,71,2,17
CMP00241,Bengaluru,563807.21,4,Axis Bank,TECH_SUPPORT_SCAM,10,PNB,12,1,2,14
CMP00242,Lucknow,193506.4,2,Axis Bank,KYC_UPDATE,2,Canara Bank,17,33,5,15
CMP00243,Bengaluru,122295.52,2,Kotak Mahindra,INVESTMENT_SCAM,10,Bank of Baroda,8,9,3,18
CMP00244,Ahmedabad,43287.08,1,Axis Bank,TECH_SUPPORT_SCAM,9,Indian Bank,7,37,0,14
CMP00245,Lucknow,45772.65,1,ICICI Bank,KYC_UPDATE,6,Bank of Baroda,8,24,5,14
CMP00246,Chennai,43397.62,1,ICICI Bank,INVESTMENT_SCAM,4,Canara Bank,19,46,1,3
CMP00247,Pune,131221.09,2,Kotak Mahindra,KYC_UPDATE,1,Indian Bank,1,62,2,15
CMP00248,Kolkata,33066.61,1,Yes Bank,JOB_FRAUD,7,Canara Bank,1,68,6,13
CMP00249,Ahmedabad,119010.59,2,ICICI Bank,TECH_SUPPORT_SCAM,2,Bank of Baroda,22,2,0,18
CMP00250,Bengaluru,19485.57,1,Yes Bank,TECH_SUPPORT_SCAM,3,Canara Bank,15,44,2,18
CMP00251,Surat,17195.57,1,Axis Bank,IMPERSONATION,7,Canara Bank,4,30,6,15
CMP00252,Ahmedabad,42226.73,1,ICICI Bank,IMPERSONATION,12,PNB,5,54,3,16
CMP00253,Jaipur,57156.4,2,Axis Bank,TECH_SUPPORT_SCAM,9,Canara Bank,3,21,0,18
CMP00254,Jaipur,32299.66,1,Axis Bank,KYC_UPDATE,6,Canara Bank,8,45,0,15
